都道府県,市町村,撮影場所,撮影日時,,緯度,経度,"夜空の明るさ
（等級（mag/□”）",ばらつき,周辺状況,継続観察登録地点,備考
東京都,神津島村,東京都神津島村 赤崎遊歩道,8月14日 8:50 PM,,34.23944444,139.1372222,20.5,0.1,その他,○,
東京都,神津島村,東京都神津島村 三浦湾展望台,8月14日 9:48 PM,,34.19194444,139.1441667,21.6,0.1,その他,○,
東京都,小笠原村,東京都小笠原村父島　コペペ海岸,8月15日 9:28 PM,,27.06444444,142.1930556,22.5,0.1,森林山間地,○,
神奈川県,藤沢市,神奈川県藤沢市,8月15日 11:00 PM,,35.39805556,139.4691667,18,0.1,商業地域,○,観察時間外
新潟県,新潟市,,8月12日 12:19 AM,,37.93583333,139.0777778,19.1,0.1,,,観察時間外
新潟県,新潟市,,8月14日 9:31 PM,,37.89694444,139.0625,18.1,0.2,,,薄雲あり
新潟県,村上市,,8月7日 9:47 PM,,38.25611111,139.4972222,21.3,0.1,,,
新潟県,村上市,,8月14日 10:32 PM,,38.23972222,139.6272222,19.7,0.1,,,
富山県,富山市,,8月12日 12:59 AM,,36.67805556,137.2797222,19.8,0.3,,,観察時間外
石川県,かほく市,,8月11日 9:21 PM,,36.71888889,136.7044444,19.5,0.1,,,
石川県,能登町,石川県柳田星の観察館「満天星」,8月9日 9:59 PM,,37.335,137.1366667,21.6,0.2,自然公園等,○,
福井県,福井市,,8月4日 10:07 PM,,36.02,136.2955556,20.1,0.1,,,
福井県,福井市,一乗谷朝倉市遺跡,8月4日 10:18 PM,,36.00527778,136.2994444,20.3,0.1,その他,○,
福井県,大野市,,8月3日 9:52 PM,,36.0175,136.4797222,20.8,0.2,,,
福井県,大野市,,8月3日 10:16 PM,,36.02,136.5830556,21.2,0.1,,,
福井県,大野市,,8月3日 10:19 PM,,36.02,136.5827778,21.3,0.2,,,
福井県,大野市,,8月5日 10:11 PM,,35.96722222,136.5127778,20.1,0.1,,,
福井県,大野市,,8月11日 10:28 PM,,35.94722222,136.7088889,21.3,0.1,,,
福井県,大野市,,8月11日 10:29 PM,,35.94,136.6911111,21.2,0.1,,,
福井県,勝山市,福井県勝山市北谷小原集落,8月3日 8:47 PM,,36.08944444,136.5941667,21.1,0.1,森林山間地,○,
福井県,勝山市,福井県勝山市北谷小原集落,8月4日 8:39 PM,,36.07583333,136.64,21.5,0.3,森林山間地,○,
福井県,永平寺町,,8月4日 9:50 PM,,36.06527778,136.295,19.8,0.1,,,
福井県,池田町,,8月4日 10:00 PM,,35.8575,136.3175,20.7,0.1,,,
長野県,長野市,長野県庁,8月2日 8:43 PM,,36.65111111,138.1805556,17.6,0.4,住宅地域,○,薄雲あり
